system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,date,pixel_qa,radsat_qa,sr_aerosol,.geo
2_0,364,2884,2879,435,614,835,2363,2798,1780,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,385,2896,2889,462,648,901,2310,2981,1958,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,359,2894,2885,424,583,801,2209,2583,1679,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,379,2897,2888,446,648,892,2486,2979,1937,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,407,2903,2895,480,679,1015,2511,3290,2127,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,364,2884,2879,435,614,835,2363,2798,1780,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,364,2897,2889,447,612,863,2209,2882,1902,2019-04-17T15:26:33,322,0,66,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,377,2897,2890,443,620,887,2291,2906,1885,2019-04-17T15:26:33,322,0,66,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,388,2903,2895,461,666,941,2467,3159,2069,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,392,2904,2898,474,673,995,2505,3251,2100,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,359,2888,2880,421,609,819,2465,2798,1765,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,386,2895,2889,470,625,904,2317,2864,1837,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,337,2894,2889,388,536,683,2187,2340,1468,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,359,2899,2892,428,596,848,2170,2888,1871,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,341,2895,2887,392,565,763,2211,2613,1648,2019-04-17T15:26:33,322,0,66,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,343,2889,2882,403,586,769,2365,2646,1646,2019-04-17T15:26:33,322,0,66,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,326,2891,2886,385,538,657,2190,2382,1534,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,386,2890,2886,469,623,883,2359,2863,1813,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,473,2898,2889,562,787,1073,2395,3254,2278,2019-04-17T15:26:33,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
