system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,205,398,1912,710,419,601,294,886,3426,4381,4424,4568,4429,0,0,0,0,0,4,42,62,31,2237,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,205,397,1804,687,382,518,293,785,3274,4278,4229,4447,4471,0,0,0,0,0,4,40,54,31,2172,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,205,411,1900,739,398,541,288,819,3230,4230,4298,4524,4636,0,0,0,0,0,4,41,56,30,2197,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,205,405,2043,803,390,562,283,847,3375,4366,4438,4724,4803,0,0,0,0,0,4,39,58,30,2218,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,205,394,1964,778,405,538,281,803,3400,4472,4586,4810,4713,0,0,0,0,0,4,41,55,29,2229,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,205,413,1890,737,412,572,292,863,3362,4237,4275,4511,4071,0,0,0,0,0,4,43,59,31,2274,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,205,403,1859,698,391,548,283,797,3308,4248,4344,4549,4416,0,0,0,0,0,4,41,56,30,2204,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,205,402,1828,676,401,564,290,828,3327,4260,4346,4522,4442,0,0,0,0,0,4,42,58,30,2201,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,205,405,1840,728,404,517,306,778,3082,4023,4138,4384,4597,0,0,0,0,0,4,43,53,32,2166,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,205,403,1877,726,403,558,283,800,3323,4405,4472,4619,4672,0,0,0,0,0,4,41,57,29,2221,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,205,413,1890,737,412,572,292,863,3362,4237,4275,4511,4071,0,0,0,0,0,4,43,59,31,2274,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,205,403,1767,667,420,541,292,757,3166,4136,4118,4343,4416,0,0,0,0,0,4,42,56,30,2134,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,205,401,1824,699,402,535,278,801,3102,4026,4014,4326,4434,0,0,0,0,0,4,41,55,29,2125,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,205,398,1794,676,393,526,285,771,3238,4220,4257,4435,4113,0,0,0,0,0,4,40,54,30,2200,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,205,402,1918,738,407,557,293,828,3507,4569,4605,4752,4515,0,0,0,0,0,4,42,58,30,2235,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,205,413,1682,698,434,574,305,815,3059,3907,3919,4057,4071,0,0,0,0,0,4,45,59,32,2162,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,205,410,1806,676,399,570,296,819,3216,4157,4184,4392,4480,0,0,0,0,0,4,41,59,31,2145,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,205,401,1878,727,391,529,285,772,3262,4243,4262,4513,4434,0,0,0,0,0,4,41,54,29,2185,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,205,400,1825,755,382,530,279,785,3047,3886,3933,4167,4129,0,0,0,0,0,4,40,55,29,2106,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,205,408,1888,768,400,563,316,847,3234,4151,4048,4319,4275,0,0,0,0,0,4,42,58,33,2167,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,205,398,1782,698,398,548,287,834,2858,3669,3716,4096,4429,0,0,0,0,0,4,41,56,30,2112,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,205,416,1794,737,411,542,331,792,2771,3523,3631,3880,4083,0,0,0,0,0,4,43,55,35,2106,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,205,404,1777,676,398,544,291,789,3227,4190,4238,4427,4391,0,0,0,0,0,4,40,56,31,2189,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,205,399,1683,638,411,525,285,770,3025,3921,4024,4188,4223,0,0,0,0,0,4,42,54,29,2038,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,205,412,1578,600,417,556,301,803,2947,3690,3735,3827,3719,0,0,0,0,0,4,43,56,31,2056,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,205,417,1706,821,427,523,359,717,2407,3035,2975,3153,3585,0,0,0,0,0,4,46,54,37,1808,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,205,416,1689,653,408,560,299,798,2934,3854,3972,4035,4083,0,0,0,0,0,4,43,58,31,2271,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,205,414,1841,715,415,570,296,845,3351,4268,4274,4496,3942,0,0,0,0,0,4,43,58,30,2257,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,205,401,1718,659,396,552,283,798,3091,4019,3977,4237,4442,0,0,0,0,0,4,42,57,30,2111,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,205,391,1712,662,411,581,301,841,3146,3923,3977,4197,4300,0,0,0,0,0,4,43,60,32,2174,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,205,417,1811,800,446,553,378,791,2447,3132,3217,3517,3585,0,0,0,0,0,4,45,57,40,1995,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,205,413,1615,642,408,594,301,880,2922,3612,3605,3834,3653,0,0,0,0,0,4,41,61,31,2215,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,205,414,1628,733,420,615,343,998,2671,3166,3146,3442,3942,0,0,0,0,0,4,43,63,36,2071,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,205,422,1846,803,413,638,319,964,3058,3716,3688,3870,3986,0,0,0,0,0,4,42,66,33,2086,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,205,393,1836,719,404,539,298,807,3204,4064,4199,4335,4389,0,0,0,0,0,4,42,56,31,2116,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,205,417,1672,669,411,584,300,861,2913,3634,3665,3711,3585,0,0,0,0,0,4,44,59,30,2096,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,205,413,1696,664,401,563,296,835,3049,3762,3885,3983,3653,0,0,0,0,0,4,41,58,30,2231,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,205,433,1757,824,475,693,409,1135,2675,3162,3192,3412,3485,0,0,0,0,0,4,49,71,42,2010,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,205,412,1802,766,418,674,329,1093,3229,3890,4019,4116,3930,0,0,0,0,0,4,44,68,33,2170,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,205,395,1795,716,393,564,288,870,3148,3991,4059,4251,4408,0,0,0,0,0,4,41,58,30,2143,2019-07-27T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
