date,year,doy,plot,lai,se
1998-04-15,1998,105,E1,1.06,0.06
1998-04-15,1998,105,H1,1.91,0.26
1998-04-15,1998,105,F1,2.52,0.09
1998-04-15,1998,105,G1,2.75,0.03
1998-04-15,1998,105,H2,3.54,0.03
1998-04-15,1998,105,G2,3.34,0.14
1998-04-15,1998,105,F2,1.8,0.06
1998-04-15,1998,105,E3,1.02,0.01
1998-04-15,1998,105,E2,1.33,0.03
1998-04-15,1998,105,F3,1.24,0.09
1998-04-15,1998,105,G3,1.03,0.08
1998-04-15,1998,105,H4,0.14,0
1998-04-15,1998,105,H5,3.24,0.11
1998-04-15,1998,105,G5,2.32,0.32
1998-04-15,1998,105,G4,0.92,0.12
1998-04-15,1998,105,H3,0.73,0.04
1998-04-15,1998,105,F4,1.85,0.06
1998-04-15,1998,105,F5,1.96,0.3
1998-04-15,1998,105,E5,3.75,0.13
1998-04-15,1998,105,E4,2.2,0.07
1998-04-15,1998,105,A1,0.77,0.02
1998-04-15,1998,105,B1,0.88,0.03
1998-04-15,1998,105,C1,0.94,0.02
1998-04-15,1998,105,D1,1.17,0.02
1998-04-15,1998,105,C2,0.97,0.04
1998-04-15,1998,105,D2,0.85,0.01
1998-04-15,1998,105,B2,0.9,0.03
1998-04-15,1998,105,A2,0.85,0.01
1998-04-15,1998,105,A3,0.95,0.05
1998-04-15,1998,105,B3,0.97,0.02
1998-04-15,1998,105,C3,1.1,0.01
1998-04-15,1998,105,D3,0.84,0.02
1998-04-15,1998,105,C4,1.85,0.07
1998-04-15,1998,105,D4,0.95,0.04
1998-04-15,1998,105,D5,0.75,0.04
1998-04-15,1998,105,C5,0.74,0.02
1998-04-15,1998,105,B5,0.87,0.02
1998-04-15,1998,105,B4,0.97,0.02
1998-04-15,1998,105,A4,0.81,0.02
1998-04-15,1998,105,A5,1.07,0.03
1998-04-24,1998,114,E1,1.14,0.1
1998-04-24,1998,114,H1,2.29,0.24
1998-04-24,1998,114,F1,2.5,0.08
1998-04-24,1998,114,G1,2.62,0.04
1998-04-24,1998,114,G2,3.44,0.12
1998-04-24,1998,114,H2,3.64,0.04
1998-04-24,1998,114,H3,0.8,0.03
1998-04-24,1998,114,H4,0.27,0.01
1998-04-24,1998,114,H5,3.28,0.11
1998-04-24,1998,114,G5,2.68,0.33
1998-04-24,1998,114,G4,1.15,0.12
1998-04-24,1998,114,G3,0.93,0.03
1998-04-24,1998,114,F2,1.81,0.06
1998-04-24,1998,114,F3,1.54,0.2
1998-04-24,1998,114,F4,1.96,0.08
1998-04-24,1998,114,F5,2.18,0.28
1998-04-24,1998,114,E5,3.58,0.17
1998-04-24,1998,114,E4,2.41,0.09
1998-04-24,1998,114,E3,1.16,0.04
1998-04-24,1998,114,E2,1.26,0.03
1998-04-24,1998,114,A1,0.93,0.02
1998-04-24,1998,114,B1,0.96,0.03
1998-04-24,1998,114,C1,0.9,0.03
1998-04-24,1998,114,D1,1.02,0.03
1998-04-24,1998,114,D2,0.94,0.02
1998-04-24,1998,114,C2,1.03,0.06
1998-04-24,1998,114,B2,0.64,0.06
1998-04-24,1998,114,A2,1.2,0.12
1998-04-24,1998,114,A3,0.83,0.07
1998-04-24,1998,114,B3,1,0.01
1998-04-24,1998,114,C3,1.1,0.02
1998-04-24,1998,114,D3,0.76,0.02
1998-04-24,1998,114,C4,1.84,0.08
1998-04-24,1998,114,D4,1.05,0.07
1998-04-24,1998,114,D5,0.81,0.04
1998-04-24,1998,114,C5,0.77,0.02
1998-04-24,1998,114,B5,0.8,0.02
1998-04-24,1998,114,A5,1.09,0.04
1998-04-24,1998,114,A4,1.06,0.07
1998-04-24,1998,114,B4,0.9,0.01
1998-05-04,1998,124,E1,1.46,0.07
1998-05-04,1998,124,H1,2.28,0.13
1998-05-04,1998,124,F1,2.56,0.11
1998-05-04,1998,124,G1,2.96,0.04
1998-05-04,1998,124,G2,3.65,0.13
1998-05-04,1998,124,H2,3.84,0.05
1998-05-04,1998,124,H3,0.84,0.05
1998-05-04,1998,124,H4,0.26,0.01
1998-05-04,1998,124,H5,3.6,0.12
1998-05-04,1998,124,G5,2.94,0.42
1998-05-04,1998,124,G4,1.12,0.12
1998-05-04,1998,124,G3,1.07,0.06
1998-05-04,1998,124,F2,2.24,0.09
1998-05-04,1998,124,F3,1.75,0.28
1998-05-04,1998,124,E5,3.91,0.16
1998-05-04,1998,124,F5,2.24,0.29
1998-05-04,1998,124,F4,2.02,0.05
1998-05-04,1998,124,E4,2.63,0.07
1998-05-04,1998,124,E3,1.23,0.02
1998-05-04,1998,124,E2,1.56,0.02
1998-05-04,1998,124,A1,1.14,0.01
1998-05-04,1998,124,B1,1.12,0.04
1998-05-04,1998,124,C1,1.29,0.03
1998-05-04,1998,124,D1,1.19,0.02
1998-05-04,1998,124,D2,1.28,0.03
1998-05-04,1998,124,C2,1.27,0.04
1998-05-04,1998,124,B2,1.11,0.03
1998-05-04,1998,124,A2,1,0.02
1998-05-04,1998,124,A3,1.33,0.04
1998-05-04,1998,124,B3,1.47,0.04
1998-05-04,1998,124,C3,1.56,0.04
1998-05-04,1998,124,D3,1.31,0.02
1998-05-04,1998,124,C4,2.37,0.11
1998-05-04,1998,124,D4,1.4,0.15
1998-05-04,1998,124,D5,1.83,0.12
1998-05-04,1998,124,C5,1.2,0.08
1998-05-04,1998,124,B5,0.92,0.1
1998-05-04,1998,124,B4,1.34,0.1
1998-05-04,1998,124,A4,1.2,0.01
1998-05-04,1998,124,A5,1.35,0.05
1998-05-08,1998,128,E1,1.52,0.12
1998-05-08,1998,128,H1,2.7,0.1
1998-05-08,1998,128,F1,2.71,0.08
1998-05-08,1998,128,G1,2.98,0.04
1998-05-08,1998,128,G2,4.02,0.12
1998-05-08,1998,128,H2,3.92,0.04
1998-05-08,1998,128,H3,0.67,0.03
1998-05-08,1998,128,H4,0.26,0.03
1998-05-08,1998,128,H5,3.92,0.08
1998-05-08,1998,128,G5,3.11,0.38
1998-05-08,1998,128,G4,1.56,0.18
1998-05-08,1998,128,G3,1.13,0.03
1998-05-08,1998,128,F2,2.44,0.06
1998-05-08,1998,128,F3,2.48,0.24
1998-05-08,1998,128,F4,2.37,0.09
1998-05-08,1998,128,F5,2.37,0.3
1998-05-08,1998,128,E5,3.95,0.15
1998-05-08,1998,128,E4,2.7,0.07
1998-05-08,1998,128,E3,1.47,0.09
1998-05-08,1998,128,E2,1.89,0.04
1998-05-08,1998,128,A1,1.46,0.08
1998-05-08,1998,128,B1,1.35,0.09
1998-05-08,1998,128,C1,1.45,0.08
1998-05-08,1998,128,D1,1.38,0.02
1998-05-08,1998,128,D2,1.62,0.03
1998-05-08,1998,128,C2,1.57,0.05
1998-05-08,1998,128,B2,1.48,0.06
1998-05-08,1998,128,A2,1.31,0.04
1998-05-08,1998,128,A3,1.87,0.09
1998-05-08,1998,128,B3,1.68,0.06
1998-05-08,1998,128,C3,1.98,0.03
1998-05-08,1998,128,D3,1.51,0.02
1998-05-08,1998,128,C4,2.7,0.08
1998-05-08,1998,128,D4,1.82,0.17
1998-05-08,1998,128,D5,1.61,0.04
1998-05-08,1998,128,C5,1.58,0.04
1998-05-08,1998,128,B5,1.28,0.03
1998-05-08,1998,128,B4,1.47,0.02
1998-05-08,1998,128,A4,1.8,0.06
1998-05-08,1998,128,A5,2.03,0.04
1998-05-13,1998,133,E1,1.66,0.12
1998-05-13,1998,133,H1,2.98,0.25
1998-05-13,1998,133,F1,3.04,0.09
1998-05-13,1998,133,G1,2.98,0.02
1998-05-13,1998,133,H2,4.12,0.03
1998-05-13,1998,133,G2,4.06,0.14
1998-05-13,1998,133,H3,1.05,0.06
1998-05-13,1998,133,H4,0.25,0.03
1998-05-13,1998,133,H5,3.96,0.1
1998-05-13,1998,133,G5,3,0.35
1998-05-13,1998,133,G4,1.4,0.23
1998-05-13,1998,133,G3,1.32,0.06
1998-05-13,1998,133,F2,2.94,0.07
1998-05-13,1998,133,F3,2.6,0.26
1998-05-13,1998,133,F4,2.52,0.1
1998-05-13,1998,133,F5,2.62,0.28
1998-05-13,1998,133,E5,4.17,0.1
1998-05-13,1998,133,E4,2.82,0.05
1998-05-13,1998,133,E3,1.66,0.08
1998-05-13,1998,133,E2,1.88,0.04
1998-05-13,1998,133,A1,1.59,0.03
1998-05-13,1998,133,B1,1.65,0.1
