system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,date,pixel_qa,radsat_qa,sr_aerosol,.geo
2_0,543,2871,2860,505,772,380,4747,1575,619,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,549,2880,2869,513,872,405,5693,2016,811,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,442,2885,2875,415,852,344,6008,2198,877,2019-06-04T15:26:52,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,244,2877,2868,232,413,125,2747,792,326,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,42,2871,2862,92,379,111,2779,748,275,2019-06-04T15:26:52,322,0,194,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,543,2871,2860,505,772,380,4747,1575,619,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,563,2882,2872,527,912,430,5841,2148,863,2019-06-04T15:26:52,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,383,2885,2875,368,758,287,5827,2044,797,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,278,2878,2868,269,622,224,4670,1413,557,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,72,2872,2862,103,327,89,2225,554,221,2019-06-04T15:26:52,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,568,2875,2866,516,874,413,5553,1907,748,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,418,2884,2874,403,830,331,5944,2216,885,2019-06-04T15:26:52,322,0,130,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,394,2885,2876,376,795,298,5675,2029,812,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,387,2884,2875,370,770,299,5650,2027,799,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,99,2875,2867,151,551,187,3841,1199,458,2019-06-04T15:26:52,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,564,2878,2870,523,877,423,5593,1954,795,2019-06-04T15:26:52,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,419,2884,2875,392,819,320,5895,2102,840,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,411,2884,2876,399,850,323,5895,2202,892,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,417,2884,2876,412,835,338,5437,2204,936,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,390,2880,2874,374,850,310,6008,2129,881,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,554,2870,2860,506,837,391,4922,1504,640,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,387,2880,2872,381,766,331,4878,2063,920,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,398,2883,2874,375,795,297,5792,2030,808,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,380,2883,2876,357,731,283,5362,1895,772,2019-06-04T15:26:52,322,0,130,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,251,2883,2875,297,736,359,4461,1736,746,2019-06-04T15:26:52,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,568,2872,2865,525,844,441,4799,1892,819,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,387,2879,2870,377,749,327,5055,2065,891,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,338,2881,2873,331,736,285,5536,1945,781,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,376,2884,2876,362,749,287,5596,2016,801,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,334,2883,2874,341,730,306,4891,1808,761,2019-06-04T15:26:52,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,586,2874,2866,552,687,458,2892,1541,720,2019-06-04T15:26:52,392,0,80,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,581,2876,2867,551,822,460,4483,1793,804,2019-06-04T15:26:52,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,204,2881,2872,273,816,387,4744,1954,865,2019-06-04T15:26:52,322,0,194,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,305,2885,2877,330,827,368,5265,2151,928,2019-06-04T15:26:52,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,406,2885,2878,386,823,331,5567,2087,867,2019-06-04T15:26:52,322,0,130,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,553,2869,2860,510,824,403,4825,1595,672,2019-06-04T15:26:52,352,0,80,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,578,2873,2865,542,707,450,3353,1502,707,2019-06-04T15:26:52,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,250,2882,2873,344,873,523,4272,2006,1005,2019-06-04T15:26:52,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,258,2886,2876,335,898,492,4511,2140,1056,2019-06-04T15:26:52,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,286,2883,2871,290,915,312,5940,2235,964,2019-06-04T15:26:52,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
