system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,74,339,2344,1493,370,514,720,1093,1598,1820,2108,2210,2199,0,0,0,0,0,4,39,53,73,403,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,74,392,2803,1818,447,630,950,1325,1708,1943,2300,2406,2236,0,0,0,0,0,5,47,65,97,454,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,74,376,2432,1575,396,561,806,1144,1582,1849,2124,2195,2211,0,0,0,0,0,4,42,57,82,405,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,74,368,2492,1595,410,587,841,1217,1696,1929,2236,2255,2290,0,0,0,0,0,4,42,60,86,391,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,74,402,2779,1828,476,664,1058,1452,1782,2089,2489,2546,2405,0,0,0,0,0,5,50,68,108,382,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,74,323,2411,1544,397,555,799,1156,1657,1895,2243,2265,2135,0,0,0,0,0,4,41,57,81,435,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,74,373,2660,1761,414,587,895,1251,1622,1884,2209,2259,2167,0,0,0,0,0,5,44,60,91,410,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,74,342,2462,1624,407,559,858,1164,1629,1854,2149,2200,2043,0,0,0,0,0,5,42,58,88,425,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,74,399,2821,1839,458,621,1001,1286,1644,1858,2191,2309,2354,0,0,0,0,0,5,47,64,103,381,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,74,406,2704,1765,419,592,926,1313,1694,1926,2268,2301,2436,0,0,0,0,0,5,43,61,95,394,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,74,323,2411,1544,397,555,799,1156,1657,1895,2243,2265,2135,0,0,0,0,0,4,41,57,81,435,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,74,373,2418,1542,369,554,804,1171,1642,1888,2218,2285,2167,0,0,0,0,0,4,37,57,82,417,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,74,353,1986,1253,335,460,587,907,1490,1684,1959,2028,2086,0,0,0,0,0,4,35,47,61,386,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,74,361,2480,1636,409,549,842,1129,1436,1652,1896,1953,1880,0,0,0,0,0,5,43,56,86,351,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,74,348,2375,1559,390,540,825,1182,1641,1860,2165,2233,2124,0,0,0,0,0,4,41,56,85,387,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,74,323,2237,1376,353,525,702,1103,1737,1932,2235,2267,2135,0,0,0,0,0,4,36,53,71,429,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,74,357,2247,1481,358,512,733,1034,1584,1755,1928,2035,2239,0,0,0,0,0,4,38,53,76,417,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,74,353,2407,1602,412,582,856,1206,1593,1898,2171,2147,2086,0,0,0,0,0,5,43,59,87,425,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,74,416,2645,1805,486,662,1006,1312,1673,1870,2097,2160,2242,0,0,0,0,0,5,50,68,103,421,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,74,386,2854,1927,485,659,1024,1356,1680,1950,2218,2324,2309,0,0,0,0,0,5,50,67,104,424,2019-04-03T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
